"Комментарий","Путь","ГТ","Т","Трейлер","П","Постеры","М","Наименование","С","З","О","!","Контрагент","Дата публикации"
"готовит Саша, 2024","\\nas\ROOT\EDIT\24_06_20\","к","g","Саша","п","СашаР","O","Пробуждение зла","g","п","v","","Веста","20.06.2024"
"готовит Женя, 1992","\\nas\ROOT\EDIT\24_06_20\","","g","Женя","п","СашаР","O","Дети кукурузы 2: Последняя жертва","g","п","v","","Веста","20.06.2024"
"готовит Женя, 1994","\\nas\ROOT\EDIT\24_06_20\","","g","Женя","п","СашаР","O","Дети кукурузы 3: Городская жатва","g","п","v","","Веста","20.06.2024"
"","","","","","","","","21.06.2024","","","","","",""
"готовит Саша, 2022","\\nas\ROOT\EDIT\24_06_21\","к","g","Саша","п","СашаР","O","Круиз. В поисках сокровищ","g","п","v","","Веста","21.06.2024"
"","","","","","","","","22.06.2024","","","","","",""
"готовит Саша, 2023","\\nas\ROOT\EDIT\24_06_22\","к","g","Саша","п","Катя","O","Кухня со звездами","g","п","v","","Веста","22.06.2024"
"","","","","","","","","24.06.2024","","","","","",""
"готовит Саша, 2023","\\nas\ROOT\EDIT\24_06_24\","к","g","Саша","п","СашаР","O","Сталкер. Черная плесень","g","п","v","","Веста","24.06.2024"
"","","","","","","","","25.06.2024","","","","","",""
"готовит Саша, 2022","\\nas\ROOT\EDIT\24_06_25\","к","g","Саша","п","СашаР","O","Козлиная резня бензопилой","g","g","v","","Веста","25.06.2024"
"готовит Саша, 2024","\\nas\ROOT\EDIT\24_06_25\","к","g","Кирилл","п","СашаР","O","Падение империи","g","п","v","","Арна Медиа","25.06.2024"
"","","","","","","","","26.06.2024","","","","","",""
"готовит Саша, 2022","\\nas\ROOT\EDIT\24_06_26\","к","g","Саша","п","СашаР","O","Галопом к мечте","g","п","v","","Веста","26.06.2024"
"","","","","","","","","27.06.2024","","","","","",""
"готовит Саша, 2023","\\nas\ROOT\EDIT\24_06_27\","к","g","Саша","п","СашаР","O","(Не)идеальные мужчины","g","g","v","","Веста","27.06.2024"
"готовит Саша, 2024","\\nas\ROOT\EDIT\24_06_27\","к","g","Саша","п","Катя","O","Подарок","g","g","v","","Paradise","27.06.2024"
"готовит Кирилл, 2023","\\nas\ROOT\EDIT\24_06_27\","к","g","Кирилл","g","Катя","O","Идеальная зависимость","g","g","v","","Russian World Vision","27.06.2024"
"","","","","","","","","28.06.2024","","","","","",""
"готовит Кирилл, 2003","\\nas\ROOT\EDIT\24_06_28\","к","g","Кирилл","п","СашаР","O","Олдбой","g","g","v","","Веста","28.06.2024"
"","","","","","","","","ИЮЛЬ 2024","","","","","",""
"","","","","","","","","03.07.2024","","","","","",""
"","","к","","","","СашаР","O","Нежный восток","","","v","","Russian World Vision","03.07.2024"
"","","","","","","","O","Нужды путешественника","","","v","","Russian World Vision","03.07.2024"
"","","","","","","","O","Судная ночь. Джекпот","","","v","","Russian World Vision","03.07.2024"
"","","","","","","","","05.07.2024","","","","","",""
"","","к","","","y","СашаР","O","Игра королевы","","","v","","Volga film","05.07.2024"
"","","","","","","","","07.07.2024","","","","","",""
"готовит Саша, 2024","\\nas\ROOT\EDIT\24_07_07\","к","g","Саша","п","СашаР","O","Пять фунтов искупления","н","r","v","","Paradise","07.07.2024"
"","","","","","","","","19.07.2024","","","","","",""
"2023","","","","","п","Катя","O","Месть","","","v","","Веста","19.07.2024"
"","","","","","","","","TBD","","","","","",""
"","","","","","","","","TV1000 (Viasat)","","","","","",""
""," ","","","","","","","Кураж-Бамбей","","","","","",""
""," ","","","","","","","Russian World Vision","","","","","",""
""," ","","","","","","","Русский репортаж","","","","","",""
""," ","","","","","","","Капелла фильм","","","","","",""
""," ","","","","","","","UMS","","","","","",""
""," ","","","","","","","МАУРИС","","","","","",""
""," ","","","","","","","PORNO","","","","","",""
"","","","","","","","","Мего Дистрибушн","","","","","",""
"","","","","","","","","Тайм Медиа Групп (готовим русский и корейский звук)","","","","","",""
"","","","","","","","","Paradise","","","","","",""
"","","","","","","","","Мультипликационное кино","","","","","",""
"","","","","","","","","Русское","","","","","",""
"","","","","","","","","Дополнительные задачи","","","","","",""
"готовит Саша, 2024","\\nas\ROOT\EDIT\_amedia\Sommerdal_s05","","","","g","Катя","O","Соммердаль. 05 сезон. 05 серия","g","g","","","Амедиа","03.06.2024"
"готовит Саша, 2022","\\nas\ROOT\EDIT\_amedia\Neraskrytoe_delo_s01","r","g","Саша","g","СашаР","O","Нераскрытое дело. 01 сезон. 10 серий","g","g","","","Амедиа","03.06.2024"
"готовит Кирилл","\\nas\ROOT\EDIT\_amedia\Aleks_lyutyy_s01","","","","g","Катя","O","Алекс Лютый. 01 сезон. 12 серий","g","g","","","Амедиа","03.06.2024"
"готовит Саша, 2022","\\nas\ROOT\EDIT\_amedia\Aleks_lyutyy_s02","","","","g","Катя","O","Алекс Лютый. 02 сезон. 12 серий","g","g","","","Амедиа","03.06.2024"
